model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,explore,uniform,prefix,suffix
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,7337526511887988986,60.0,14.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,91,25,16,17
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-1663622229223489071,83.0,19.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,132,31,28,23
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,9029266397083096815,36.0,8.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,62,10,5,9
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,3270655357985323562,39.0,9.0,-6.065810808462359,yes,"[0.0 50.0 162.5; 10.0 0.0 325.0; 25.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,68,15,13,8
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,4646165513168370522,37.0,8.0,-4.659864170974117,yes,"[0.0 37.5 325.0; 10.0 12.5 325.0; 20.0 50.0 162.5; 30.0 50.0 162.5]","2 2 3 3 3 4",0.25,300,64,7,11,11
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,1160374946524215438,51.0,11.0,-5.6365250287408095,yes,"[0.0 0.0 0.0; 15.0 34.375 325.0; 22.5 0.0 162.5; 30.0 0.0 162.5]","2 2 3 3 3 4",0.25,300,84,14,17,15
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,6593497837671038105,32.0,7.0,-0.5837220621699224,yes,"[0.0 25.0 0.0; 10.0 0.0 0.0; 25.0 0.0 0.0; 30.0 0.0 0.0]","2 2 3 3 3 4",0.25,300,53,10,7,4
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,4171195215442190885,3.0,0.0,-10.210982450526547,yes,"[0.0 50.0 162.5; 10.0 0.0 325.0; 25.0 0.0 304.6875; 30.0 0.0 304.6875]","2 2 3 3 3 4",0.25,300,7,0,0,0
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-3488129131999256826,100.0,24.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,145,37,41,36
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,2858767765820268634,6.0,1.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,12,1,0,1
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-7199746053883856239,7.0,1.0,-2.787159586793795,yes,"[0.0 25.0 162.5; 10.0 25.0 325.0; 20.0 0.0 40.625; 30.0 0.0 40.625]","2 2 3 3 3 4",0.25,300,17,1,1,0
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-862556750932218293,28.0,6.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,50,7,7,3
