model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",2597640955835708158,100.0,13.0,47.9217067154747,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-3373523279198630529,100.0,13.0,47.19910368786013,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-945874369173475924,100.0,13.0,44.81705389859694,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-2027068886085455778,100.0,13.0,48.81627744666817,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",0,100.0,13.0,67.54617286595519,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,13.0,62.173365601250346,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,13.0,63.080508924398565,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,62.716872284794356,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,67.23140641689508,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,13.0,61.42345300022458,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",2597640955835708158,100.0,13.0,64.57764670840832,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-3373523279198630529,100.0,13.0,60.21207149716699,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-945874369173475924,100.0,13.0,63.43831239212827,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-2027068886085455778,100.0,13.0,63.912555441852014,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",0,100.0,13.0,55.007733606690906,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,13.0,51.485695976369925,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,13.0,48.72277341730928,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,49.51350966732343,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,55.30039204055472,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,14.0,46.516648109384626,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",2597640955835708158,100.0,14.0,51.006736195044446,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-3373523279198630529,100.0,13.0,48.62124275868785,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-945874369173475924,100.0,13.0,49.99423326367407,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-2027068886085455778,100.0,13.0,50.68628102269655,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",0,100.0,13.0,84.11671302320494,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",8930961420536443956,100.0,13.0,79.16977041643628,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",5027564224191174885,100.0,13.0,84.13907214674276,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-1702726027617546570,100.0,13.0,86.92817322111169,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",5704118054995460492,100.0,13.0,88.04232834326288,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",7938329089922726318,100.0,13.0,84.1013852605321,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",2597640955835708158,100.0,13.0,92.38241622519834,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-3373523279198630529,100.0,13.0,79.80366409221969,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-945874369173475924,100.0,13.0,79.54580022517015,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 3000.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-2027068886085455778,100.0,13.0,85.75090637504984,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",0,100.0,13.0,67.54617286595519,no,4,100
