model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,5082315122564986995,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-4023469995120514721,83.0,55.0,-2.557256927459477,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-652523483647487500,108.0,73.0,-1.7104300596680844,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,733208966369662072,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-2859003968966358305,232.0,162.0,-0.49783259090527565,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,2391129358218448901,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,462804890636782426,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,4152650890530247911,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-7824937040248809533,159.0,109.0,-0.07679216294383195,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-7423161351415864473,105.0,71.0,-1.8980618255290267,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-1712070416600608528,175.0,121.0,-1.2117544485096516,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-7558503418509576542,118.0,80.0,-0.31685454060523455,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-1602231814014388968,64.0,43.0,-3.756812561472614,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-8398198349610176347,74.0,49.0,-2.411274725360201,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,8543763135442756639,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
