model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",1016904508389916868,85.0,15.0,-5.169648809446144,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",4499836294815366082,13.0,2.0,-0.20043568972310766,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-4572612047969838982,8.0,1.0,-1.937293690841102,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-91448436985613087,65.0,11.0,-4.935069569909345,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,0,6.0,4.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-4962768465676381896,30.0,20.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,4804307197456638271,13.0,9.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-1034601897293430941,14.0,9.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,7848011421992302230,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-8929183248358367000,9.0,6.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,488730542833106255,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,5082315122564986995,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-4023469995120514721,5.0,3.0,-0.4752550565940048,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-652523483647487500,6.0,4.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,733208966369662072,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-2859003968966358305,2.0,1.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,2391129358218448901,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,462804890636782426,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,4152650890530247911,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-7824937040248809533,38.0,25.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-7423161351415864473,17.0,11.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-1712070416600608528,28.0,19.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-7558503418509576542,41.0,27.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-1602231814014388968,5.0,3.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-8398198349610176347,25.0,16.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,8543763135442756639,13.0,9.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-6771948130860443991,10.0,6.0,-0.22713048701512406,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-6872183637580745469,4.0,2.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-4362937514027401353,3.0,2.0,-0.2568827821193409,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-645818057311197652,4.0,2.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-2589363629201395742,11.0,7.0,-1.0,yes,4,300,cmaes,
